pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,origin
CoRoT-11 b,2.99328197444,,,21.74555811,,6343.0,1.58601,,,1681.79,Exoplanet
CoRoT-11 b,2.994325,0.04351,0.0,15.58051,791.3967,,1.33,1.23,,1715.0,Exoplanet
CoRoT-11 b,2.99433,0.0436,0.0,16.03,740.51,6440.0,1.37,1.27,-0.03,1657.0,Exoplanet
CoRoT-11 b,2.99427803,,,,,6440.0,1.37,1.27,-0.03,,Exoplanet
CoRoT-11 b,,,,,,6343.0,1.36,1.56,0.04,,Exoplanet
CoRoT-12 b,2.82803914989,,,17.76037065,,5675.0,1.03674,,,1293.28,Exoplanet
CoRoT-12 b,2.828042,0.04013,0.05,16.14096,290.81445,5675.0,1.116,1.078,0.16,,Exoplanet
CoRoT-12 b,2.82805268,0.0392,,15.064896,277.46559,,1.049,1.0,,1417.0,Exoplanet
CoRoT-12 b,2.828041,,,,,5675.0,1.116,1.078,0.16,,Exoplanet
CoRoT-12 b,2.828042,0.0394,,15.13215,281.91521,5675.0,1.046,1.018,0.16,1410.0,Exoplanet
CoRoT-12 b,2.828042,0.04016,0.07,16.14,291.438,5675.0,1.116,1.078,0.16,1442.0,Exoplanet
CoRoT-13 b,4.03519,0.051,0.0,9.92,415.704,5945.0,1.01,1.09,0.01,1700.0,Exoplanet
CoRoT-13 b,4.03504443843,,,12.53306062,,5945.0,1.13707,,,1233.17,Exoplanet
CoRoT-13 b,4.03519,0.051,,14.033668,416.99296,5945.0,1.274,1.086,0.01,1432.0,Exoplanet
CoRoT-13 b,4.03519,0.05107,0.067,9.919965,423.03173,5945.0,1.01,1.09,0.01,,Exoplanet
CoRoT-13 b,4.03515,,,,,5945.0,1.01,1.09,0.01,,Exoplanet
CoRoT-14 b,1.51214,0.02691,0.036,12.21781,2358.2986,6040.0,1.21,1.13,0.05,,Exoplanet
CoRoT-14 b,1.51214,0.02687,,11.410762,2437.7561,6035.0,1.19,1.125,0.05,1936.0,Exoplanet
CoRoT-14 b,1.51214,0.027,0.0,12.22,2415.4,6035.0,1.21,1.13,0.05,1952.0,Exoplanet
CoRoT-16 b,5.35227,0.0618,0.37,13.11453,168.13207,5650.0,1.19,1.098,0.19,,Exoplanet
CoRoT-16 b,5.35227,0.0618,0.33,13.11,170.032,5650.0,1.19,1.098,0.19,,Exoplanet
