pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,pl_insol,origin,habitability_score,habitable,planet_index,total_planets,angle_deg,angle_rad,x,y
55 Cnc b,14.647,0.115,0.03,,289.21,,,,,,,Exoplanet,0.0,No,84,43242,0.6993201054530318,0.012205438365549357,0.11499143417461286,0.0014035905619805148
55 Cnc b,14.65152,0.11522725,0.0034,,263.9785,,,0.95,,,,Exoplanet,0.0,No,85,43242,0.7076453448036631,0.012350741203234468,0.11521846168279078,0.001423105763382609
55 Cnc c,44.373,0.23735,0.072,,56.6985,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,86,43242,0.7159705841542944,0.012496044040919578,0.23733146900736704,0.0029658588646771385
55 Cnc c,44.3989,0.2373,0.03,,51.2,5172.0,0.943,0.905,0.35,,,Exoplanet,0.0,No,87,43242,0.7242958235049257,0.01264134687860469,0.2372810395493179,0.0029997117186559567
55 Cnc c,44.3446,0.24,0.086,,53.711,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,88,43242,0.7326210628555572,0.012786649716289802,0.2399803804579998,0.00306871230871676
55 Cnc c,43.93,0.24,0.44,,68.96911,,,0.95,,,,Exoplanet,0.0,No,89,43242,0.7409463022061884,0.012931952553974913,0.23997993203205223,0.0031035821064686287
55 Cnc c,44.4175,0.241376,0.02,,54.4738,,,0.95,,,,Exoplanet,0.0,No,90,43242,0.7492715415568199,0.013077255391660027,0.24135536088305493,0.003156445629236685
55 Cnc c,44.3827,0.2432,0.048,,54.3486576,5317.89,0.964411,0.974708,0.3833,,,Exoplanet,0.0,No,91,43242,0.7575967809074511,0.013222558229345135,0.2431787402465411,0.003215632458054629
55 Cnc c,44.3787,0.238,0.053,,52.44,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,92,43242,0.7659220202580824,0.013367861067030248,0.23797873505124145,0.0031814561777619016
55 Cnc c,44.38,0.237,0.07,,52.44,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,93,43242,0.7742472596087137,0.013513163904715356,0.2369783615658301,0.003202522376921736
55 Cnc d,5218.0,5.77,0.025,,1218.827,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,94,43242,0.7825724989593451,0.01365846674240047,5.769461800902819,0.07880690276359016
55 Cnc d,4909.0,5.47,0.02,,1121.89,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,95,43242,0.7908977383099765,0.013803769580085582,5.46947887028554,0.07550422173633824
55 Cnc d,5360.0,5.9,0.16,,1287.2115,,,0.95,0.27,,,Exoplanet,0.0,No,96,43242,0.7992229776606077,0.013949072417770691,5.899426008274323,0.08229685836348732
55 Cnc d,4825.0,5.503,0.019,,1232.493,,,0.95,,,,Exoplanet,0.0,No,97,43242,0.8075482170112391,0.014094375255455805,5.502453419683151,0.07755877911107162
55 Cnc d,5574.2,5.957,0.13,,991.6,5172.0,0.943,0.905,0.35,,,Exoplanet,0.0,No,98,43242,0.8158734563618704,0.014239678093140916,5.956396064429729,0.08482289576542844
55 Cnc d,4820.0,5.54,0.139,,908.98924402,5317.89,0.964411,0.974708,0.3833,,,Exoplanet,0.0,No,99,43242,0.8241986957125017,0.014384980930826026,5.5394268202204255,0.07969004594441906
55 Cnc d,4867.0,5.446,0.0269,,1226.77,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,100,43242,0.832523935063133,0.014530283768511138,5.445425105449227,0.07912914092339558
55 Cnc d,4545.0,5.28,0.24,,918.49,,,,,,,Exoplanet,0.0,No,101,43242,0.8408491744137644,0.014675586606196249,5.279431425901226,0.07748431587460533
55 Cnc d,4517.4,5.257,0.327,,1243.35096,,,0.95,,,,Exoplanet,0.0,No,102,43242,0.8491744137643958,0.014820889443881363,5.256422637507745,0.07791056344371051
55 Cnc d,5370.0,5.84,0.063,,1220.42,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,103,43242,0.8574996531150271,0.014966192281566473,5.8393459704266615,0.08739930012253655
55 Cnc e,0.73654625,,,,,5234.0,0.943,0.905,0.31,,,Exoplanet,0.0,No,104,43242,0.8658248924656584,0.015111495119251583,,
55 Cnc e,0.7365474,0.01544,0.05,1.875,7.99,5172.0,0.943,0.905,0.35,,,Exoplanet,0.0,No,105,43242,0.8741501318162896,0.015256797956936694,0.015438203051353003,0.0002355558218233805
55 Cnc e,0.736543,,,1.856,,5272.0,0.943,0.905,0.37,,,Exoplanet,0.0,No,106,43242,0.8824753711669211,0.015402100794621808,,
55 Cnc e,0.7365437,0.01544,0.061,2.08,7.81,5234.0,0.943,0.905,0.31,1958.0,,Exoplanet,0.0,No,107,43242,0.8908006105175523,0.015547403632306916,0.015438133945604355,0.000240042241237934
55 Cnc e,0.7365515,0.015690907,0.04,,8.13928,,,0.95,,,,Exoplanet,0.0,No,108,43242,0.8991258498681837,0.01569270646999203,0.015688975010138734,0.00024622269166605303
55 Cnc e,0.736546,0.01583,0.0,2.173,8.37,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,109,43242,0.9074510892188151,0.01583800930767714,0.015828014622807102,0.0002507052057787349
55 Cnc e,2.79674,0.0377,0.264,,7.4687,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,110,43242,0.9157763285694464,0.015983312145362253,0.037695184563380925,0.0006025452121194845
55 Cnc e,0.7365445,0.01583,0.036,,9.37593801,5317.89,0.964411,0.974708,0.3833,,,Exoplanet,0.0,No,111,43242,0.9241015679200777,0.01612861498304736,0.015827941098101445,0.00025530490600698816
55 Cnc e,,0.01544,,1.92,8.08,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,112,43242,0.9324268072707089,0.016273917820732474,0.015437955477225743,0.0002512582002556618
55 Cnc e,0.73654,0.01583,,2.0,8.63,,0.943,0.963,,,,Exoplanet,0.0,No,113,43242,0.9407520466213404,0.016419220658417586,0.01582786623669992,0.00025990458467431887
55 Cnc e,0.73654604,,,,,,,,,,,Exoplanet,0.0,No,114,43242,0.9490772859719716,0.016564523496102695,,
55 Cnc e,0.7365474,,,1.947,8.59,,0.98,1.015,,,,Exoplanet,0.0,No,115,43242,0.9574025253226031,0.01670982633378781,,
55 Cnc e,0.73654625026,,,2.02311213,,5250.0,0.963515,,,1831.27,2657.8322,Exoplanet,0.0,No,116,43242,0.9657277646732344,0.016855129171472923,,
55 Cnc e,2.808,0.038,0.174,,14.30235,,,0.95,,,,Exoplanet,0.0,No,117,43242,0.9740530040238656,0.01700043200915803,0.03799450885317229,0.0006459852987587914
55 Cnc e,0.736539,0.01544,,1.91,8.08,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,118,43242,0.9823782433744971,0.017145734846843144,0.015437730559152677,0.0002647171754978175
55 Cnc e,0.737,,,1.897,7.74,5172.0,0.954,0.873,0.35,,,Exoplanet,0.0,No,119,43242,0.9907034827251283,0.017291037684528252,,
55 Cnc e,0.7365417,,,,,,,,,,,Exoplanet,0.0,No,120,43242,0.9990287220757597,0.017436340522213364,,
55 Cnc e,,,,,,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,121,43242,1.007353961426391,0.01758164335989848,,
55 Cnc e,0.7365478,0.015439,0.028,,8.09479,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,122,43242,1.0156792007770223,0.01772694619758359,0.015436574252168574,0.0002736719884939162
55 Cnc f,260.7,0.775,0.0,,44.812,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,123,43242,1.0240044401276538,0.0178722490352687,0.774876229096438,0.013850255639678432
55 Cnc f,260.98,0.792,0.142,,46.87969003,5317.89,0.964411,0.974708,0.3833,,,Exoplanet,0.0,No,124,43242,1.032329679478285,0.018017551872953813,0.7918714491362061,0.014269129017739263
55 Cnc f,260.0,0.781,0.2,,45.766,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,125,43242,1.0406549188289163,0.018162854710638922,0.7808711817731421,0.014184409618186683
55 Cnc f,259.88,0.7708,0.08,,47.8,5172.0,0.943,0.905,0.35,,,Exoplanet,0.0,No,126,43242,1.0489801581795477,0.018308157548324034,0.7706708219092262,0.014111139491827442
55 Cnc f,261.2,0.77,0.32,,54.664,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,127,43242,1.057305397530179,0.018453460386009146,0.7698688995932834,0.014208358069352623
55 Cnc f,262.0,0.788,0.305,,44.812,,,0.95,,,,Exoplanet,0.0,No,128,43242,1.0656306368808104,0.01859876322369426,0.7878637138152564,0.01465498049236842
55 Cnc f,260.91,0.7733,0.08,,47.0051,5250.0,0.963515,0.9,0.35,,,Exoplanet,0.0,No,129,43242,1.0739558762314416,0.018744066061379367,0.7731641583614485,0.014493937533775678
6 Lyn b,934.3,2.11,0.073,,638.8383,4938.0,5.2,1.44,,,,Exoplanet,0.0,No,130,43242,1.082281115582073,0.018889368899064483,2.1096235784811626,0.03985419822719278
6 Lyn b,874.774,2.18,0.125,,702.4043,,5.2,1.82,,,,Exoplanet,0.0,No,131,43242,1.0906063549327043,0.01903467173674959,2.179605084510332,0.041493078660281846
6 Lyn b,919.86,2.028,0.042,,597.83523357,4941.0,4.94,1.32,-0.17,,,Exoplanet,0.0,No,132,43242,1.0989315942833358,0.019179974574434704,2.0276269898105714,0.038894603632393755
6 Lyn b,899.0,2.2,0.134,,762.8,4978.0,5.2,1.7,-0.13,,,Exoplanet,0.0,No,133,43242,1.107256833633967,0.019325277412119812,2.1995891998034818,0.042512963997800426
61 Vir b,4.21487,0.04956,0.099,,5.11703735,5585.57,1.03251,0.914072,0.0275,,,Exoplanet,0.0,No,134,43242,1.1155820729845982,0.019470580249804924,0.04955060611216429,0.0009649009882608927
61 Vir b,4.215,0.050201,0.12,,5.1,5577.0,0.963,0.942,-0.01,,,Exoplanet,0.0,No,135,43242,1.1239073123352297,0.019615883087490037,0.05019134206727897,0.0009846737964387389
61 Vir c,38.0957,0.2151,0.068,,16.11390023,5585.57,1.03251,0.914072,0.0275,,,Exoplanet,0.0,No,136,43242,1.132232551685861,0.019761185925175145,0.2150580026110482,0.004250354449500344
61 Vir c,38.021,0.2175,0.14,,18.2,5577.0,0.963,0.942,-0.01,,,Exoplanet,0.0,No,137,43242,1.1405577910364924,0.01990648876286026,0.21745690724598588,0.0043293753603372166
61 Vir d,123.01,0.476,0.35,,22.9,5577.0,0.963,0.942,-0.01,,,Exoplanet,0.0,No,138,43242,1.1488830303871236,0.02005179160054537,0.4759043095118474,0.009544013204711871
7 CMa b,,1.8,,,616.5,,5.198,1.439,,,,Exoplanet,0.0,No,139,43242,1.157208269737755,0.020197094438230482,1.7996328821185232,0.036352298383699994
7 CMa b,735.1,1.758,0.06,,587.9855,4826.0,4.87,1.34,0.21,,,Exoplanet,0.0,No,140,43242,1.1655335090883863,0.020342397275915594,1.75763627080468,0.035759468002441154
